src_ip,dst_ip,protocol,length
142.251.222.74,192.168.73.128,6,7114
142.251.222.74,192.168.73.128,6,9938
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,7114
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,24058
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,45238
142.251.222.74,192.168.73.128,6,19109
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2179
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,22646
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,25470
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,24058
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,21234
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,46650
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,25470
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,45238
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,12762
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,45238
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,19109
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,6415
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,19822
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,24058
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,16998
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,64293
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,26183
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,24058
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,33942
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,56534
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,19822
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
